"","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"1","LOC144621260",2772.76619333171,0.00955178804707946,0.0452925273971964,0.348704544167856,0.964605279818362,2271.41695907916,3803.79467999849,2282.64594494226,2565.496457064,2768.44523249691,2464.39180422004,3034.61447070761,2992.43220902219,1848.30609602112,2494.92488149277,2960.49162412524,3554.66896317408,1869.45691543633,3206.15197199358,2174.44209981675,3121.19815030688,3981.96945377668,2535.18057209112,2754.74381312236,2174.75863009534,3212.90299687748,2713.43854323767,2987.74997753122
"2","LOC144621269",6797.38137233509,0.00814947567007869,0.117768532972124,0.121115327118351,0.891740167038403,497.327986510349,19153.9344090211,9621.34007443691,23.9872776484167,91.3608173425689,8474.20320124452,2328.31863791263,3114.0757947548,3204.97521700632,2523.49804354339,2338.28660481756,12721.2950878912,1790.50412337664,9120.59832223592,2304.77446014071,224.94187931471,47354.7857274704,8749.51947442441,2960.51699087286,3645.64576505308,11016.9871020014,1.98495870024702,5076.90960798692
"3","LOC111120925",191.443047044146,-0.00761490021861522,0.116597269182474,0.137133016156558,0.911306940082469,3.42984818282999,17.2290649823787,22.6502905231316,2.28450263318254,8.49868068302966,19.3354563811843,362.230389285169,370.21960875142,209.256877032694,4.878344740349,2104.95972257718,34.6845312827134,9.0750335700793,383.261216668018,14.3748926827903,246.71044828065,219.685794113216,6.74250152151894,337.801054804296,5.57154217787022,6.46645226513582,0,13.8438288765137
"4","LOC144621283",932.054004330847,-0.0136020423488209,0.0474150549185189,0.159814106113897,0.92336198882641,841.170266839056,1032.78672866592,1121.60883071952,885.244770358235,1214.24900258786,950.952900201884,741.55719812362,1033.44159357182,981.718136859703,954.761756325447,998.538700340547,763.059688219694,699.685088253114,981.708963624724,784.86914048035,571.16578572537,802.445116221928,522.169284499856,1413.05511657572,1419.81466499393,698.376844634668,1000.4191849245,1024.44333686201
"5","LOC144621276",12350.8891848022,0.00595965430382113,0.0454744639618938,0.487576354462573,0.982164228645161,11807.2523693923,13820.5816266981,18011.1754641347,9461.2676553255,8577.29347934769,8337.97612219526,14250.9342238829,12277.5399965078,10041.218471145,10803.4428806986,11907.19766788,12034.5413684935,11522.5701239297,15493.4301807855,13068.6941010141,7415.82582773012,16235.7010236246,7865.50260826971,15096.3767168173,18464.0907774619,10209.6043477544,15482.6778619267,11885.5563554359
"6","LOC111115920",213.338614302169,0.00216850299586625,0.0461481371773806,0.736805852706093,0.988278324582304,316.403494866067,249.82144224449,223.986206284302,390.649950274215,526.918202347839,251.360932955396,142.113987536659,182.994263754273,225.592915760154,187.467819307697,67.7400625859165,265.584410964777,129.772980052134,94.2236878187154,184.956952518568,308.906359611906,159.1735394473,124.361694730238,158.195564397787,243.290675100333,171.822874473609,180.631241722479,120.818870195028
"7","LOC144621308",146.442699012248,0.00253565898641166,0.0601467394651439,0.455953138417271,0.979365694163561,37.7283300111299,28.7151083039644,98.9901585825752,39.9787960806945,47.8050788420419,78.2207099057003,19.2334719974426,137.510140393385,61.4546218794902,69.6906391478428,41.3967049136157,37.6574911069459,174.240644545522,210.093357974163,28.7497853655806,90.1840714303216,114.447090346406,140.843365116173,26.1676873439948,1806.10825599293,31.4084824306597,0.992479350123508,46.5656062210005
"8","LOC111112629",733.384303107351,0.00550802127874201,0.0605687808381369,0.199292956799745,0.941744544496036,345.557204420122,595.359912168862,1458.84648961948,575.694663562001,536.479218116247,365.615902480577,1096.30790385423,261.269266747431,426.292820126084,107.323584287678,184.403503706106,629.276496129228,393.856456941441,860.746121154751,840.452058853806,925.682480313531,656.426414745479,157.325035502109,1251.29123117648,3687.43233138711,97.9205628720566,578.615461122005,835.66385218228
"9","LOC111102827",2230.64879804404,0.0113790083950768,0.0644160906279547,0.0617757348336002,0.847173746257224,1702.91962277509,1972.72794048236,1706.32188607592,2739.11865718587,1556.32090007981,1383.36401563564,1907.31930641306,2710.0075360604,1323.21913692421,1171.49964407524,2434.87891628267,2095.93667608396,6220.93551228936,3576.68025787529,1481.57227250625,1393.18841382014,4195.07782890447,3479.8799519395,2407.42723564752,1618.5330026713,2739.92820262755,401.954136800021,1086.11130185739
"10","LOC111102829",563.572280701599,0.00996540839779354,0.0534085433037349,0.110313547961369,0.881567232705562,381.570610339837,388.611132380319,766.754279190455,254.722043599854,607.655668836621,524.693975434866,504.344376821828,837.754086088928,366.394011458732,343.574850998865,234.581327843822,560.898420171879,899.335826794858,872.205758862433,376.622188289106,563.909596070057,970.827042248824,556.630958943175,261.676873439948,436.437470599834,371.3591157978,1107.60695473784,773.995887186901
