"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144622046",14.8241599356916,-19.6239037743489,3.3866225970669,2.15820094402516e-09,9.34393098715694e-07,0,0,0,0,0,0,0,0,0,0,22.1925873488014,6.36561923231896,0,0,27.0498671959729,0,78.1368110164304,0,291.329178209586,0,10.022698920976,188.60003591728,102.21026625997,1.10964169126372,0,0,0,0,0,0,28.3721358612988,0,0,105.115422680825,0,0,0,0,0,0,0,0,0,0,0,0,68.6188020212954,10.2847483966655,0,0,0,0,0,1.91161335429392,0,0,0,0,0,18.5406044138798,0,83.2381576368552,103.748862873175,11.6755750245327,0,0,62.0731802945189,13.7238899446932,0,0,66.4593984667442,3.48227054397107,0,0,26.9585235117486,0,0,0,13.6024941773819,0.989483751231176,0,4.00493699563363,0,18.3603009055623,0,0,5.04801047332626,0,0,0,0,5.42175689909071,0,"BB vs. BC","BB"
"LOC144619349",53.7232230655907,-21.7856637407763,4.10285008373917,2.42751437553875e-08,9.70146783590309e-06,0,0,440.820969005408,0,126.019564127396,0,0,0,122.460334660862,0,0,0,0,0,0,0,0,0,446.582972239773,0,0,0,342.593670241751,169.775178763349,0,0,7.31505885500817,1.01435984742021,1.09092795971432,0,0,0,0,129.14180500787,0,0,0,210.240125706144,0,0,0,0,2.32430616697382,0,286.545174134075,0,273.312177542448,194.381744696977,0,0,0,42.7034415405925,0,0,0,0,0,0,85.3217054810825,0,0,0,0,165.403979514214,0,0,272.907947846592,0,0,540.557715786555,4.06894276327005,125.942118006954,0,0,0,0,0,303.867796653218,0,0,0,0,0.920626356558067,0,0,2.47762215354032,0,355.677855245828,0,56.4866780856368,286.304946710722,0,0,"BB vs. BC","BB"
"LOC111105307",318.366398173038,-20.9404253014637,3.97461907442019,3.17436575710187e-08,1.23075372048112e-05,0,0,111.155287443174,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7723633392242,0,0,0,0,0,0,52.1531594893948,1.18931637470861,0,0,0,0,3.12989497381048,0,0,0,6.00659558176141,24.2608339947529,1218.89094309595,0,0,0,0,0,1.94886480302041,0,0,0,128.207842762387,0,0,0,0,0,0,0,0,0,0,0,0,12.6043428551599,55.6218132416394,0,0,0,0,0,10.5036306219247,1450.15791894954,1.05568384189948,0,0,0,0,230.195595545979,0,0,4.43410937124457,0,226.793457560419,0,0,186.996089551228,0,22093.1913046805,5.40008850163597,0,7.43286646062097,143.363497442466,0,3598.72918898918,0,15.4759430654444,0,6.4043975554522,"BB vs. BC","BB"
"LOC111117765",917.628033593757,-1.55833516073244,0.696011107745921,1.11249101698538e-05,0.00307438076044991,1023.65924688583,720.887833760176,989.947089878524,147.825465363485,845.140379606666,412.666985864681,305.077071794927,800.68921425266,1484.96946354523,932.092260813876,834.239533520852,1640.20788886085,323.887048854427,1167.98987547601,551.015813251299,981.578166699166,1483.09677833109,729.47415545139,3274.02853881306,417.602449839968,1521.302514791,1150.67212924813,598.119335891676,309.590031862577,651.745373340317,577.302332096507,715.830759382942,529.495840353352,388.370353658299,488.263615914436,961.247962980803,252.543772989523,1354.88433600693,1341.47301326005,1062.27794562739,542.73437169393,915.979220938105,3136.35141373934,244.445653743989,435.362931635895,482.244499822613,1524.98670836347,311.457026374491,1351.15400482958,1121.06147672584,1863.55651763281,1845.72947131857,1675.3855138168,1137.55547562419,575.102189280536,783.891045408097,1211.85442209789,479.729390324395,634.655633625582,494.862408583336,1349.3177323128,520.332992485388,1846.62000896229,634.095402098045,2622.95021266946,499.756719527204,809.76251179332,773.030742976601,1661.82351182516,689.613089878645,337.283249970694,394.913853942715,277.644850419562,1664.1095670518,168.684677266726,495.732859991735,418.452843700524,547.613740966802,743.105699190203,1707.82246446927,1436.65143628324,189.484942953934,1732.84376167258,537.298520006584,1124.05354139862,991.214779034225,618.762765825396,1162.75108833284,1365.14237321357,942.689102934746,351.822345802726,780.422419176241,620.346755363481,614.831572860647,1449.05621129889,604.667204057008,374.101226037259,543.306392620861,"BB vs. BC","BB"
"LOC111105070",9.06934597134404,-20.3073748665277,2.8979783366808,8.23266643070068e-13,5.62789410185031e-10,0,0,58.902801892964,0,0,0,0,0,0,0.997957452691516,0,0,0,0,4.00738773273672,0,0,1.76201486824007,0,0,10.73860598676,0,393.698803371736,0,10.1091891850232,15.6329451631549,0,8.11487877936172,0,0,0,0,0,0,0,5.27658416924654,12.6341961508704,0,0,0,0,0,1.54953744464921,0,0,0,1.16303054273382,0,23.8552676134491,4.197826199128,0,0,0,17.2045201886453,0,0,0,0,0,13.087485468621,2.50504621316894,0.904762583009296,10.171457144429,0,0,39.6803823494934,2.14045449291445,0,0,0,0,0,16.1856278118266,12.4195938583321,0,0,7.09301925496009,7.97320749235849,0,0,0,0,0,0,153.575001171345,0,1.00960209466525,4.64331403715181,1.06188527264361,1.15278934868647,0,0,0,"BB vs. BC","BB"
"LOC111104604",174.192462980199,-20.4163103550145,4.9661735165232,1.16757280181506e-06,0.000393896606139608,0,0,167.207953760672,0,0,0,0,391.058263146595,0,978.996261090378,0,0,0,1092.42185856099,0,0,0,0,1308.69815791328,0,445.294194917649,0,0,2103.88064663601,0,0,0,1075.22143826543,0,375.587396857258,0,0,0,0,0,0,0,181.129954454524,0,0,0,544.707712444206,0,0,0,281.653449848079,0,0,0,0,250.499617816361,213.517207702962,1191.46663608506,0,0,0,0,0,0,0,405.817486533369,0,665.213297245654,1.94592917075545,0,284.76509686107,0,0,653.858750535283,975.687508281406,0,0,0,617.529805733734,0,0,0,0,0,3.9579350049247,614.512511677404,0,0,0,0,0,1185.27285913701,0,0,0,0,0,189.997127478415,"BB vs. BC","BB"
"LOC111105325",550.917973725707,-1.59674166256695,0.992687189669483,4.14934805264463e-05,0.00913454359013131,886.730657588373,384.005619374336,1708.18125489596,330.639206552647,401.181548185381,184.828311978829,130.279693749336,671.712214534126,625.540628402783,520.933790304972,456.965548591228,710.827480942284,148.841297531808,119.317921444768,362.668589812673,1000.88790112603,1634.8625074207,355.927003384495,240.186751940819,289.821655875632,1405.32557013399,343.294447399993,574.459552035201,193.077654279887,174.234848894811,352.857905111211,284.24228693746,378.35622308774,283.641269525724,536.255338846196,490.270507683243,308.2519582078,430.086639554833,584.64196995811,340.518134283496,260.060219770008,394.818629714701,451.746731645509,291.648952398001,1048.96856940037,119.759166253066,341.051340528572,258.772753256418,967.337180380734,837.307327015154,149.407564793963,698.981356183026,172.78377306398,552.079050482679,271.809246393538,495.600536972888,275.841149410854,329.062934403631,1682.21975177865,328.920523070361,407.742858429474,355.971050602335,650.997376431407,88.2303999861194,763.436652336227,418.342717599213,431.571752095434,1381.28388021345,144.971723221281,666.561955955125,1421.49134416715,280.399538571792,631.298937455887,730.532740826066,2386.50480905766,801.5817243642,384.210516684808,486.468035899901,640.299061140677,262.845604239548,971.06995230256,1911.06204497925,418.150437377023,783.276956380906,397.772467994933,255.425817973959,467.576394240226,153.744601545197,1272.26085098543,72.703059065158,455.882476251419,532.060303888588,391.895704735612,369.536074879975,313.558702842719,467.594565477357,581.212339582524,313.815480217158,"BB vs. BC","BB"
"LOC111105349",111.498081278669,-1.50895453807757,0.789798955020203,1.99091934612095e-05,0.0050211759081732,303.131566651616,53.1391588168141,95.0045191822,28.8653275561835,121.394992966758,67.421648394793,66.121854616497,104.213415772576,28.6844027133551,61.873362066874,274.381079948817,126.251448107659,48.2161949750927,64.9619794532626,76.1403669219977,60.0747293280364,109.69206161922,316.281668849093,214.615538806435,23.1486945587565,189.71537243276,109.133728648763,115.459745219596,87.6616936098338,97.5239427261058,99.3808656800564,135.85109302158,181.570412688218,166.911977836292,90.766954240504,125.972283224167,64.9928827546566,47.9112059607715,72.0791469811369,120.437711616809,55.7810326463206,55.8010329996777,197.302271816535,44.6745505118325,54.2923185334175,64.1566962069996,127.650644597837,56.5581167296962,124.721908138115,107.919611037509,101.96056786615,112.81396264518,85.3634116923232,20.4473722400992,87.104893631906,95.0170964131026,65.7863829138857,67.4763882344525,92.7132476832552,66.1792043414841,145.739415261941,24.6103442391738,102.117235518652,60.1130197707627,145.052963943883,37.5756931975341,66.0476685596786,65.0973257243453,215.025173368478,62.4301543762005,105.036306219247,111.303633631551,66.508082039667,254.870023281397,52.713961645852,53.5744130497224,77.770708815354,49.4560849805814,144.205284243967,218.364040445163,141.891499879826,68.9036156196123,327.787419130293,69.1460120683578,114.780115142816,195.126354314324,146.180200340627,231.997841852633,66.961097420286,138.05412339339,65.6569870688185,99.95060737186,122.583490580808,92.3840187199936,380.420485066534,221.084900934921,117.109949020359,78.9875698505771,"BB vs. BC","BB"
"LOC111104521",18.7042168806593,-21.1289534590846,2.92254040175074,1.53861740390462e-13,1.17554895003618e-10,0,0,3.800180767288,0,4.62457116063839,0,0,0,0,0,0,125.19051156894,0,0,8.01477546547344,0,4.5078929432556,0,0,0,0,0,0,68.7977848583506,0,297.025958099944,0,0,0,22.9525631412769,9.07908347561561,0,2.22842818422193,0,0,9.0455728615655,0,0,0,6.14630021133029,0,1.94886480302041,1.54953744464921,0,0,0,0,2.05694967933309,0,0,0,0,0,1.91161335429392,0,45.8506025543184,5.27364519410866,0,0,0,7.51513863950682,0,8.13716571554317,200.430704587812,0,0,0,14.7795737865927,0,0,0,0,0,0,5.39170470234971,28.8217109130897,0,496.110688413417,4.53416472579395,0,1.35504412718281,306.377680165973,5.5237581393484,4.32007080130877,0,0,12.115225135983,0,0,0,13.2650940560952,8.67481103854514,2.13479918515073,"BB vs. BC","BB"
"LOC144618975",13.221468104468,-20.0441934935146,3.06933048138967,2.20411583223393e-11,1.30127993122592e-08,0,0,0,0,2.3122855803192,0,0,0,0,0,0,72.1436846329483,0,0,0,0,0,0,0,0,0,2.11910152716045,1.89278270851796,64.3592180932957,0,297.025958099944,0,0,0,6.25978994762097,2.2697708689039,0,0,0,0,5.27658416924654,0,2.15630898160147,0,0,0,0,0,0,0,0,2.32606108546764,0,1.36315814933995,0,0,0,0,0,1.97549863705923,0,0,0,3.87825934004921,0,0,0,15.2571857166434,69.0804855618186,1.92092782696001,0,0,4.22273536759791,0,0,2.7126285088467,0,0,4.13986461944403,8.08755705352457,28.8217109130897,0,300.324148878836,4.53416472579395,0,0,292.360400681255,0,0,0,0,4.03840837866101,0,2.12377054528721,9.22231478949172,2.21084900934921,15.180919317454,0,"BB vs. BC","BB"
